Feature,Correlation,P_value,AUC,Odds_Ratio,Significant
item_50983_last,0.08296555208046863,0.3333298545678738,0.5748031496062992,1.3125319582046189,False
item_50983_max,0.11133492552354393,0.19358778296330115,0.5690765926986399,1.3815580606467426,False
item_51265_std,0.09666484905457777,0.31963211833007915,0.5540816326530612,1.2662627550383938,False
item_51250_min,0.05658282900364295,0.5176941072727458,0.5487804878048781,1.2140955000020799,False
item_50893_pct_abnormal,0.048901828692967414,0.5747211397999966,0.5443548387096775,1.1856377913398257,False
item_50902_last,-0.03221452256747008,0.7075934487855849,0.5382963493199714,0.8981551201436598,False
item_51248_min,0.05402481235754462,0.5368293776178488,0.5353658536585366,1.2162991684779019,False
item_50971_min,0.05022916312454889,0.5585064257117656,0.5322118826055835,1.1786312934442724,False
item_51249_std,0.08181335579377676,0.3999288915292241,0.5255102040816326,1.268273144203403,False
item_50931_last,-0.013379097352944977,0.8766869759568051,0.5181102362204725,0.9529951059225255,False
item_50902_max,0.028851565791955303,0.7369340430084603,0.5161059413027916,1.0996021022957276,False
item_50931_pct_abnormal,0.029685745651581507,0.7305793350623438,0.502755905511811,1.1178139132086875,False
item_51221_max,0.037587791780143695,0.667527675023663,0.5020325203252032,1.1345916204018596,False
item_51279_pct_abnormal,0.006741678981982094,0.9386109721254977,0.4975609756097561,1.0238415185157865,False
item_50960_min,0.013337130485852217,0.8779809022890036,0.49679999999999996,1.0462287936717263,False
item_51249_pct_abnormal,-0.01470517256587085,0.8665859605966828,0.49552845528455286,0.9499755572719143,False
item_51249_mean,-0.001782160379951726,0.9837570824407957,0.4910569105691057,0.99393000342938,False
item_51221_pct_abnormal,0.01921121026187566,0.8262735099950599,0.4902439024390243,1.071632018950751,False
item_50902_std,0.027385478517512378,0.7764153470752257,0.4805,1.0854445854900288,False
item_51222_pct_abnormal,0.034106232282731394,0.6967340892057171,0.47886178861788614,1.1387881988665216,False
item_51250_pct_abnormal,-0.05152878060260076,0.5558337882354947,0.4682926829268293,0.8162641728531902,False
item_51222_max,0.0010508288667838948,0.9904221375644947,0.4666666666666667,1.0035990983043668,False
item_51301_last,-0.06774747081473943,0.4384473887931191,0.4626016260162602,0.6521509118539647,False
item_50893_mean,-0.010399865459127276,0.9050673900835081,0.4580645161290323,0.964858866313382,False
item_50902_mean,-0.07524421618324464,0.380419511062812,0.4556191839656407,0.7794115845146503,False
item_50983_mean,0.009574993742307579,0.9112514720406129,0.45454545454545453,1.0326042115318501,False
item_51301_min,-0.0769741226052601,0.3785143533712924,0.42886178861788615,0.6204365978045058,False
item_51249_last,-0.03960304334424958,0.6508432773927026,0.42601626016260163,0.8767334761461439,False
item_50902_min,-0.12544600278421938,0.14263454550215296,0.42161775232641374,0.6773151533485402,False
item_50893_last,-0.06306391959284656,0.46912751452533763,0.4137096774193548,0.8039608378479445,False
item_51279_max,-0.05721183313967296,0.5130428607227722,0.40325203252032515,0.8145527333580381,False
item_50983_min,-0.11805547162479064,0.16787910992862723,0.3962061560486757,0.6805457227471544,False
item_50882_max,-0.09658039403889625,0.26155918222810737,0.39212598425196854,0.7018652094553055,False
item_51265_max,-0.06116052970655457,0.4860217290138586,0.38688524590163936,0.7964347328119116,False
item_51248_pct_abnormal,-0.1436725480444919,0.09897493936373768,0.3780487804878049,0.5071311404460483,False
item_51249_min,-0.0972257248230522,0.26557203080612246,0.3707317073170732,0.7289652700839276,False
item_50931_min,-0.10939428687752017,0.20318913500278174,0.36850393700787404,0.6227271076592518,False
item_51221_last,-0.1082438257628975,0.2149041157755099,0.3670731707317073,0.6787289799728705,False
item_51222_last,-0.12443150300324551,0.15357390970575543,0.36504065040650413,0.6382638609011662,False
item_51221_mean,-0.09157024248426296,0.2945117380944896,0.36260162601626017,0.7120926336884189,False
item_51222_mean,-0.10372912789738734,0.2347629509814092,0.3532520325203252,0.6757274578628889,False
item_50893_min,-0.2950222079798977,0.0005391990447815773,0.33387096774193553,0.4828255681943153,True
item_51279_last,-0.15637693375470635,0.07225966038824831,0.33292682926829265,0.5643654348145206,False
item_51279_mean,-0.1459357500651246,0.09371617702652035,0.30365853658536585,0.5621425246212407,False
item_50882_last,-0.23701382362421894,0.00529354183946868,0.30354330708661414,0.464985782179767,True
item_51265_last,-0.2102115927069751,0.015551576250703938,0.2844262295081968,0.416361855304604,True
item_51221_min,-0.204886333212307,0.017995311030483425,0.26544715447154477,0.44956750704427656,True
item_51222_min,-0.21894328234657093,0.011343317398864907,0.2646341463414634,0.41703730008660145,True
item_51265_mean,-0.2198354318241682,0.011316925670055707,0.25245901639344265,0.37658288704535536,True
item_51279_min,-0.2398840216217734,0.005417647491798759,0.2479674796747967,0.38208358595233377,True
item_50882_mean,-0.2511574970631831,0.003072483600251009,0.21929133858267716,0.4458975229483239,True
item_51265_min,-0.2762649434061749,0.0013436222002667813,0.18893442622950823,0.24067246858345004,True
item_50882_min,-0.35331267979003694,2.2861657718249398e-05,0.1688976377952756,0.34909025084346496,True
